tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.048067045631124634,5.0,0.0
1,39985.0,15.0,0.0,0.09602587675595936,5.0,0.0
2,39985.0,15.0,0.0,0.14390623071049077,5.0,0.0
3,39985.0,15.0,0.0,0.19168401136692653,5.0,0.0
4,39985.0,15.0,0.0,0.23942924701019974,5.0,0.0
5,39985.0,15.0,0.0,0.28705009298519746,5.0,0.0
6,39985.0,15.0,0.0,0.33463643241025204,5.0,0.0
7,39985.0,15.0,0.0,0.38214580464142,5.0,0.0
8,39985.0,15.0,0.0,0.42952611627705634,5.0,0.0
9,39985.0,15.0,0.0,0.4768582279131065,5.0,0.0
10,39985.0,15.0,0.0,0.5241218867748122,5.0,0.0
11,39985.0,15.0,0.0,0.5713086077863944,5.0,0.0
12,39985.0,15.0,0.0,0.618404905819738,5.0,0.0
13,39985.0,15.0,0.0,0.66544195144262,5.0,0.0
14,39985.0,15.0,0.0,0.7123820527053437,5.0,0.0
15,39985.0,15.0,0.0,0.7592433411734067,5.0,0.0
16,39985.0,15.0,0.0,0.8059927985389277,5.0,0.0
17,39985.0,15.0,0.0,0.852703338905799,5.0,0.0
18,39985.0,14.0,1.0,0.8993432653922869,5.0,0.0
19,39985.0,14.0,1.0,0.942729506569798,5.0,0.0
20,39985.0,14.0,1.0,0.9860307788992593,5.0,0.0
21,39985.0,14.0,1.0,1.0292520503017124,5.0,0.0
22,39985.0,13.0,2.0,1.072387746048439,5.0,0.0
23,39985.0,13.0,2.0,1.1121988467775845,5.0,0.0
24,39985.0,13.0,2.0,1.1519663233433095,5.0,0.0
25,39985.0,13.0,2.0,1.1916698529039003,5.0,0.0
26,39985.0,13.0,2.0,1.231332531432819,5.0,0.0
27,39985.0,13.0,2.0,1.2709195827221327,5.0,0.0
28,39985.0,13.0,2.0,1.3104257624087192,5.0,0.0
29,39985.0,13.0,2.0,1.3498867183288452,5.0,0.0
30,39985.0,13.0,2.0,1.3892733819581669,5.0,0.0
31,39985.0,12.0,3.0,1.428592352921432,5.0,0.0
32,39985.0,12.0,3.0,1.4646673032522524,5.0,0.0
33,39985.0,12.0,3.0,1.5006724344929938,5.0,0.0
34,39985.0,12.0,3.0,1.5366109356135011,5.0,0.0
35,39985.0,10.0,5.0,1.5724765343858358,5.0,0.0
36,39985.0,9.0,6.0,1.601908162462123,5.0,0.0
37,39985.0,9.0,6.0,1.6280896837820822,5.0,0.0
38,39985.0,9.0,6.0,1.6541819242119713,5.0,0.0
39,39985.0,8.0,7.0,1.680233743133527,5.0,0.0
40,39985.0,8.0,7.0,1.7030467920763819,5.0,0.0
41,39985.0,8.0,7.0,1.7258352012604783,5.0,0.0
42,39985.0,8.0,7.0,1.7485500389734097,5.0,0.0
43,39985.0,7.0,8.0,1.7712576812969731,5.0,0.0
44,39985.0,7.0,8.0,1.7907260375025484,5.0,0.0
45,39985.0,7.0,8.0,1.8101345665857724,5.0,0.0
46,39985.0,7.0,8.0,1.8295245034039556,5.0,0.0
47,39985.0,7.0,8.0,1.8488778226099458,5.0,0.0
48,39985.0,7.0,8.0,1.8682395037292603,5.0,0.0
49,39985.0,7.0,8.0,1.887524767447217,5.0,0.0
50,39985.0,6.0,9.0,1.9068020901762204,5.0,0.0
51,39985.0,6.0,9.0,1.922816113352683,5.0,0.0
52,39985.0,6.0,9.0,1.9388248177909209,5.0,0.0
53,39985.0,6.0,9.0,1.9548308089950859,5.0,0.0
54,39985.0,6.0,9.0,1.9707834699050504,5.0,0.0
55,39985.0,6.0,9.0,1.9867116725562015,5.0,0.0
56,39985.0,6.0,9.0,2.0026121954978713,5.0,0.0
57,39985.0,6.0,9.0,2.018468221559238,5.0,0.0
58,39985.0,6.0,9.0,2.0343201342949015,5.0,0.0
59,39985.0,6.0,9.0,2.050146721601682,5.0,0.0
60,39985.0,6.0,9.0,2.065935138711676,5.0,0.0
61,39985.0,6.0,9.0,2.081725018920513,5.0,0.0
62,39985.0,6.0,9.0,2.097456128853356,5.0,0.0
63,39985.0,6.0,9.0,2.1131663028225325,5.0,0.0
64,39985.0,6.0,9.0,2.1288538056781388,5.0,0.0
65,39985.0,6.0,9.0,2.1445270903871156,5.0,0.0
66,39985.0,6.0,9.0,2.160179044038448,5.0,0.0
67,39985.0,6.0,9.0,2.175803525631438,5.0,0.0
68,39985.0,6.0,9.0,2.1913833727622554,5.0,0.0
69,39985.0,6.0,9.0,2.206946425985025,5.0,0.0
70,39985.0,5.0,10.0,2.222470536852841,5.0,0.0
71,39985.0,5.0,10.0,2.2347642444406106,5.0,0.0
72,39985.0,5.0,10.0,2.2470621701883444,5.0,0.0
73,39985.0,5.0,10.0,2.2593298952556475,5.0,0.0
74,39985.0,5.0,10.0,2.271574518321213,5.0,0.0
75,39985.0,5.0,10.0,2.283801649357714,5.0,0.0
76,39985.0,5.0,10.0,2.295995679854656,5.0,0.0
77,39985.0,4.0,11.0,2.3081730351135383,5.0,0.0
78,39985.0,4.0,11.0,2.3171265840926236,5.0,0.0
79,39985.0,4.0,11.0,2.326054987996338,5.0,0.0
80,39985.0,4.0,11.0,2.334966553540781,5.0,0.0
81,39985.0,4.0,11.0,2.343881459132783,5.0,0.0
82,39985.0,4.0,11.0,2.3527743807314425,5.0,0.0
83,39985.0,4.0,11.0,2.3616552815269585,5.0,0.0
84,39985.0,4.0,11.0,2.370512625738301,5.0,0.0
85,39985.0,4.0,11.0,2.3793509387788605,5.0,0.0
86,39985.0,4.0,11.0,2.3881774161598073,5.0,0.0
87,39985.0,4.0,11.0,2.3969919878465964,5.0,0.0
88,39985.0,4.0,11.0,2.405800996061412,5.0,0.0
89,39985.0,4.0,11.0,2.414591731306535,5.0,0.0
90,39985.0,4.0,11.0,2.4233644270011063,5.0,0.0
91,39985.0,4.0,11.0,2.432145503375313,5.0,0.0
92,39985.0,4.0,11.0,2.440896598946522,5.0,0.0
93,39985.0,4.0,11.0,2.4496262967808167,5.0,0.0
94,39985.0,4.0,11.0,2.458345173381458,5.0,0.0
95,39985.0,4.0,11.0,2.467068402030962,5.0,0.0
96,39985.0,4.0,11.0,2.475771687426907,5.0,0.0
97,39985.0,4.0,11.0,2.48444785970528,5.0,0.0
98,39985.0,4.0,11.0,2.4931061058211195,5.0,0.0
99,39985.0,4.0,11.0,2.501768699321672,5.0,0.0
100,39985.0,4.0,11.0,2.51040005237601,5.0,0.0
101,39985.0,4.0,11.0,2.5190303550677418,5.0,0.0
102,39985.0,4.0,11.0,2.527625413694935,5.0,0.0
103,39985.0,4.0,11.0,2.53620663792819,5.0,0.0
104,39985.0,4.0,11.0,2.544778553588298,5.0,0.0
105,39985.0,4.0,11.0,2.5533451255104196,5.0,0.0
106,39985.0,4.0,11.0,2.5619042646260386,5.0,0.0
107,39985.0,4.0,11.0,2.570454241359193,5.0,0.0
108,39985.0,4.0,11.0,2.5789701202900575,5.0,0.0
109,39985.0,4.0,11.0,2.587471889011077,5.0,0.0
110,39985.0,4.0,11.0,2.5959440250429506,5.0,0.0
111,39985.0,4.0,11.0,2.6044249145662377,5.0,0.0
112,39985.0,4.0,11.0,2.612882709635583,5.0,0.0
113,39985.0,4.0,11.0,2.6213239739696443,5.0,0.0
114,39985.0,4.0,11.0,2.629753837175014,5.0,0.0
115,39985.0,4.0,11.0,2.6381556471187113,5.0,0.0
116,39985.0,4.0,11.0,2.646572711207954,5.0,0.0
117,39985.0,4.0,11.0,2.6549723229736633,5.0,0.0
118,39985.0,4.0,11.0,2.663345473422852,5.0,0.0
119,39985.0,4.0,11.0,2.6716968769337335,5.0,0.0
120,39985.0,4.0,11.0,2.680051338689619,5.0,0.0
121,39985.0,4.0,11.0,2.6883894563700914,5.0,0.0
122,39985.0,4.0,11.0,2.696725384673226,5.0,0.0
123,39985.0,3.0,12.0,2.7050399035041655,5.0,0.0
124,39985.0,3.0,12.0,2.7101336920879913,5.0,0.0
125,39985.0,3.0,12.0,2.7152425693855164,5.0,0.0
126,39985.0,3.0,12.0,2.720331641894682,5.0,0.0
127,39985.0,3.0,12.0,2.725401576172065,5.0,0.0
128,39985.0,3.0,12.0,2.730459272958809,5.0,0.0
129,39985.0,3.0,12.0,2.735494527381564,5.0,0.0
130,39985.0,3.0,12.0,2.7405385041109263,5.0,0.0
131,39985.0,3.0,12.0,2.745563747491433,5.0,0.0
132,39985.0,3.0,12.0,2.750608723383828,5.0,0.0
133,39985.0,3.0,12.0,2.7556198609531686,5.0,0.0
134,39985.0,3.0,12.0,2.7606179636191204,5.0,0.0
135,39985.0,3.0,12.0,2.765625534720773,5.0,0.0
136,39985.0,3.0,12.0,2.770612104750886,5.0,0.0
137,39985.0,3.0,12.0,2.775607246892837,5.0,0.0
138,39985.0,3.0,12.0,2.780572298980403,5.0,0.0
139,39985.0,3.0,12.0,2.785535413970481,5.0,0.0
140,39985.0,3.0,12.0,2.7904794530037758,5.0,0.0
141,39985.0,3.0,12.0,2.795428172141683,5.0,0.0
142,39985.0,3.0,12.0,2.8003673375648406,5.0,0.0
143,39985.0,2.0,13.0,2.805281266863913,5.0,0.0
144,39985.0,2.0,13.0,2.8069996948858096,5.0,0.0
145,39985.0,2.0,13.0,2.808723705805808,5.0,0.0
146,39985.0,2.0,13.0,2.8104387985766524,5.0,0.0
147,39985.0,2.0,13.0,2.8121360595276457,5.0,0.0
148,39985.0,2.0,13.0,2.813845690339369,5.0,0.0
149,39985.0,2.0,13.0,2.8155464408681126,5.0,0.0
150,39985.0,2.0,13.0,2.8172591537227296,5.0,0.0
151,39985.0,2.0,13.0,2.8189602097467605,5.0,0.0
152,39985.0,2.0,13.0,2.8206542223676863,5.0,0.0
153,39985.0,2.0,13.0,2.822338315411539,5.0,0.0
154,39985.0,2.0,13.0,2.8240342302164327,5.0,0.0
155,39985.0,2.0,13.0,2.825723768273257,5.0,0.0
156,39985.0,2.0,13.0,2.8274079355008515,5.0,0.0
157,39985.0,2.0,13.0,2.8290954531046175,5.0,0.0
158,39985.0,2.0,13.0,2.830784914225632,5.0,0.0
159,39985.0,2.0,13.0,2.8324529768059716,5.0,0.0
160,39985.0,2.0,13.0,2.83411371401862,5.0,0.0
161,39985.0,2.0,13.0,2.835796091908365,5.0,0.0
162,39985.0,2.0,13.0,2.837468008304409,5.0,0.0
163,39985.0,2.0,13.0,2.839129408058485,5.0,0.0
164,39985.0,2.0,13.0,2.840800483984323,5.0,0.0
165,39985.0,2.0,13.0,2.8424638976304433,5.0,0.0
166,39985.0,2.0,13.0,2.844115427487172,5.0,0.0
167,39985.0,2.0,13.0,2.8457850941421574,5.0,0.0
168,39985.0,2.0,13.0,2.8474374596123333,5.0,0.0
169,39985.0,2.0,13.0,2.8491008913120153,5.0,0.0
170,39985.0,2.0,13.0,2.850746862190458,5.0,0.0
171,39985.0,2.0,13.0,2.852393000666119,5.0,0.0
172,39985.0,2.0,13.0,2.8540327877218825,5.0,0.0
173,39985.0,2.0,13.0,2.855668603330031,5.0,0.0
174,39985.0,2.0,13.0,2.857307956085329,5.0,0.0
175,39985.0,2.0,13.0,2.858934036246977,5.0,0.0
176,39985.0,2.0,13.0,2.860567074913251,5.0,0.0
177,39985.0,2.0,13.0,2.8621982613885066,5.0,0.0
178,39985.0,2.0,13.0,2.8638269726117813,5.0,0.0
179,39985.0,2.0,13.0,2.8654441792178176,5.0,0.0
