tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
87,39983.0,16.0,1.0,4.797437589789987,0.0,0.0
88,39983.0,16.0,1.0,4.848945869015101,0.0,0.0
89,39983.0,16.0,1.0,4.900368129413832,0.0,0.0
90,39983.0,16.0,1.0,4.95170451463762,0.0,0.0
91,39983.0,16.0,1.0,5.002955168098246,0.0,0.0
92,39983.0,16.0,1.0,5.054120232967569,0.0,0.0
93,39983.0,16.0,1.0,5.1051998521784805,0.0,0.0
94,39983.0,16.0,1.0,5.156194168425355,0.0,0.0
95,39983.0,16.0,1.0,5.207103324164083,0.0,0.0
96,39983.0,16.0,1.0,5.257927461612731,0.0,0.0
97,39983.0,16.0,1.0,5.308666722751801,0.0,0.0
98,39983.0,16.0,1.0,5.359321249324869,0.0,0.0
99,39983.0,16.0,1.0,5.409891182838449,0.0,0.0
100,39983.0,16.0,1.0,5.46037666456315,0.0,0.0
101,39983.0,16.0,1.0,5.510777835533289,0.0,0.0
102,39983.0,16.0,1.0,5.561094836547932,0.0,0.0
103,39983.0,16.0,1.0,5.611327808170899,0.0,0.0
104,39983.0,16.0,1.0,5.661476890731287,0.0,0.0
105,39983.0,16.0,1.0,5.711542224323777,0.0,0.0
106,39983.0,16.0,1.0,5.761523948809188,0.0,0.0
107,39983.0,16.0,1.0,5.811422203814609,0.0,0.0
108,39983.0,16.0,1.0,5.861237128734228,0.0,0.0
109,39983.0,16.0,1.0,5.910968862729272,0.0,0.0
110,39983.0,16.0,1.0,5.960617544728542,0.0,0.0
111,39983.0,16.0,1.0,6.010183313428895,0.0,0.0
112,39983.0,16.0,1.0,6.059666307295438,0.0,0.0
113,39983.0,16.0,1.0,6.109066664562252,0.0,0.0
114,39983.0,16.0,1.0,6.158384523232376,0.0,0.0
115,39983.0,16.0,1.0,6.2076200210785775,0.0,0.0
116,39983.0,16.0,1.0,6.256773295643383,0.0,0.0
117,39983.0,16.0,1.0,6.305844484239682,0.0,0.0
118,39983.0,16.0,1.0,6.354833723950984,0.0,0.0
119,39983.0,16.0,1.0,6.403741151632063,0.0,0.0
120,39983.0,16.0,1.0,6.4525669039087745,0.0,0.0
121,39983.0,16.0,1.0,6.501311117179286,0.0,0.0
122,39983.0,16.0,1.0,6.549973927613564,0.0,0.0
123,39982.0,17.0,1.0,6.598555471154514,0.0,0.0
124,39982.0,17.0,1.0,6.6507758835175865,0.0,0.0
125,39982.0,17.0,1.0,6.7029090877921345,0.0,0.0
126,39982.0,17.0,1.0,6.75495522961558,0.0,0.0
127,39982.0,17.0,1.0,6.806914454382105,0.0,0.0
128,39982.0,17.0,1.0,6.858786907243259,0.0,0.0
129,39982.0,17.0,1.0,6.910572733108171,0.0,0.0
130,39982.0,17.0,1.0,6.962272076643876,0.0,0.0
131,39982.0,17.0,1.0,7.013885082275956,0.0,0.0
132,39982.0,17.0,1.0,7.065411894188553,0.0,0.0
133,39982.0,17.0,1.0,7.116852656325234,0.0,0.0
134,39982.0,17.0,1.0,7.1682075123891025,0.0,0.0
135,39982.0,17.0,1.0,7.219476605843445,0.0,0.0
136,39982.0,17.0,1.0,7.270660079911683,0.0,0.0
137,39982.0,17.0,1.0,7.3217580775782585,0.0,0.0
138,39982.0,17.0,1.0,7.3727707415887,0.0,0.0
139,39982.0,16.0,2.0,7.423698214450168,0.0,0.0
140,39982.0,16.0,2.0,7.470820638432124,0.0,0.0
141,39982.0,16.0,2.0,7.5178643679659745,0.0,0.0
142,39982.0,16.0,2.0,7.564829534471507,0.0,0.0
143,39982.0,16.0,2.0,7.6117162691488325,0.0,0.0
144,39982.0,16.0,2.0,7.658524702979391,0.0,0.0
145,39982.0,16.0,2.0,7.705254966725391,0.0,0.0
146,39982.0,16.0,2.0,7.751907190931004,0.0,0.0
147,39982.0,16.0,2.0,7.798481505922151,0.0,0.0
148,39982.0,16.0,2.0,7.844978041807223,0.0,0.0
149,39982.0,16.0,2.0,7.8913969284774454,0.0,0.0
150,39982.0,16.0,2.0,7.937738295606944,0.0,0.0
151,39982.0,16.0,2.0,7.984002272653199,0.0,0.0
152,39982.0,16.0,2.0,8.030188988857901,0.0,0.0
153,39982.0,16.0,2.0,8.07629857324648,0.0,0.0
154,39981.0,17.0,2.0,8.122331154629041,0.0,0.0
155,39981.0,17.0,2.0,8.172006861600881,0.0,0.0
156,39980.0,18.0,2.0,8.221599610142203,0.0,0.0
157,39980.0,18.0,2.0,8.274829538793051,0.0,0.0
158,39980.0,18.0,2.0,8.327970573463276,0.0,0.0
159,39980.0,18.0,2.0,8.381022862605748,0.0,0.0
160,39980.0,18.0,2.0,8.433986554425136,0.0,0.0
161,39980.0,18.0,2.0,8.486861796879241,0.0,0.0
162,39980.0,18.0,2.0,8.539648737678368,0.0,0.0
163,39980.0,18.0,2.0,8.592347524286517,0.0,0.0
164,39980.0,18.0,2.0,8.644958303920971,0.0,0.0
165,39980.0,18.0,2.0,8.697481223553442,0.0,0.0
166,39980.0,18.0,2.0,8.749916429910165,0.0,0.0
167,39980.0,18.0,2.0,8.802264069472157,0.0,0.0
168,39980.0,18.0,2.0,8.854524288476226,0.0,0.0
169,39980.0,18.0,2.0,8.906697232914322,0.0,0.0
170,39980.0,18.0,2.0,8.958783048535457,0.0,0.0
171,39980.0,18.0,2.0,9.010781880844387,0.0,0.0
172,39980.0,18.0,2.0,9.062693875103196,0.0,0.0
173,39980.0,18.0,2.0,9.114519176331928,0.0,0.0
174,39980.0,18.0,2.0,9.166257929307449,0.0,0.0
175,39980.0,18.0,2.0,9.21791027856547,0.0,0.0
176,39980.0,18.0,2.0,9.269476368400225,0.0,0.0
177,39980.0,18.0,2.0,9.320956342865049,0.0,0.0
178,39980.0,18.0,2.0,9.372350345772471,0.0,0.0
179,39980.0,18.0,2.0,9.423658520694978,0.0,0.0
180,39980.0,18.0,2.0,9.47488101096564,0.0,0.0
181,39980.0,18.0,2.0,9.526017959677029,0.0,0.0
182,39980.0,18.0,2.0,9.57706950968447,0.0,0.0
183,39980.0,18.0,2.0,9.628035803603334,0.0,0.0
184,39980.0,18.0,2.0,9.678916983811312,0.0,0.0
185,39980.0,18.0,2.0,9.729713192448404,0.0,0.0
186,39980.0,18.0,2.0,9.780424571416907,0.0,0.0
187,39980.0,18.0,2.0,9.831051262382731,0.0,0.0
188,39980.0,18.0,2.0,9.88159340677448,0.0,0.0
189,39980.0,18.0,2.0,9.932051145785268,0.0,0.0
190,39980.0,18.0,2.0,9.982424620371853,0.0,0.0
191,39980.0,18.0,2.0,10.032713971255744,0.0,0.0
192,39980.0,18.0,2.0,10.082919338923693,0.0,0.0
193,39980.0,18.0,2.0,10.133040863627652,0.0,0.0
194,39980.0,18.0,2.0,10.18307868538558,0.0,0.0
195,39980.0,18.0,2.0,10.233032943980911,0.0,0.0
196,39980.0,18.0,2.0,10.282903778964458,0.0,0.0
197,39980.0,18.0,2.0,10.332691329653635,0.0,0.0
198,39980.0,18.0,2.0,10.382395735133096,0.0,0.0
199,39980.0,18.0,2.0,10.432017134255537,0.0,0.0
200,39980.0,18.0,2.0,10.481555665641125,0.0,0.0
201,39980.0,18.0,2.0,10.531011467679646,0.0,0.0
202,39980.0,18.0,2.0,10.58038467852847,0.0,0.0
203,39980.0,18.0,2.0,10.629675436115386,0.0,0.0
204,39980.0,18.0,2.0,10.6788838781371,0.0,0.0
205,39980.0,18.0,2.0,10.728010142060588,0.0,0.0
206,39980.0,18.0,2.0,10.777054365123329,0.0,0.0
207,39980.0,18.0,2.0,10.826016684333657,0.0,0.0
208,39980.0,18.0,2.0,10.874897236470787,0.0,0.0
209,39980.0,18.0,2.0,10.923696158085846,0.0,0.0
210,39980.0,18.0,2.0,10.972413585501917,0.0,0.0
211,39980.0,18.0,2.0,11.021049654814032,0.0,0.0
212,39979.0,18.0,3.0,11.069604501890614,0.0,0.0
213,39979.0,18.0,3.0,11.118078262372373,0.0,0.0
214,39979.0,18.0,3.0,11.166471071674216,0.0,0.0
215,39979.0,18.0,3.0,11.214783064984395,0.0,0.0
216,39979.0,18.0,3.0,11.263014377266021,0.0,0.0
217,39979.0,18.0,3.0,11.311165143255913,0.0,0.0
218,39979.0,18.0,3.0,11.359235497466743,0.0,0.0
219,39979.0,18.0,3.0,11.407225574185857,0.0,0.0
220,39979.0,18.0,3.0,11.455135507477012,0.0,0.0
221,39979.0,18.0,3.0,11.502965431179614,0.0,0.0
222,39979.0,18.0,3.0,11.550715478909439,0.0,0.0
223,39979.0,18.0,3.0,11.59838578405965,0.0,0.0
224,39979.0,18.0,3.0,11.645976479800401,0.0,0.0
225,39979.0,18.0,3.0,11.693487699079045,0.0,0.0
226,39979.0,18.0,3.0,11.740919574621712,0.0,0.0
227,39979.0,18.0,3.0,11.78827223893195,0.0,0.0
228,39979.0,18.0,3.0,11.835545824292959,0.0,0.0
229,39979.0,18.0,3.0,11.882740462766455,0.0,0.0
230,39979.0,18.0,3.0,11.929856286193576,0.0,0.0
231,39979.0,18.0,3.0,11.97689342619569,0.0,0.0
