tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.05580000000000001,0.0,0.0
1,39985.0,15.0,0.0,0.11159999999999701,0.0,0.0
2,39985.0,15.0,0.0,0.16739999999999747,0.0,0.0
3,39985.0,15.0,0.0,0.22319999999999698,0.0,0.0
4,39985.0,15.0,0.0,0.27900000000000075,0.0,0.0
5,39985.0,15.0,0.0,0.3347999999999988,0.0,0.0
6,39985.0,15.0,0.0,0.39059999999999445,0.0,0.0
7,39985.0,15.0,0.0,0.4463999999999917,0.0,0.0
8,39985.0,15.0,0.0,0.5021999999999924,0.0,0.0
9,39985.0,15.0,0.0,0.5579999999999885,0.0,0.0
10,39985.0,15.0,0.0,0.6137999999999912,0.0,0.0
11,39985.0,15.0,0.0,0.6695999999999965,0.0,0.0
12,39984.0,16.0,0.0,0.7254000000000059,0.0,0.0
13,39984.0,16.0,0.0,0.7849199999999934,0.0,0.0
14,39984.0,16.0,0.0,0.8444399999999849,0.0,0.0
15,39984.0,16.0,0.0,0.9039599999999812,0.0,0.0
16,39984.0,16.0,0.0,0.9634799999999862,0.0,0.0
17,39984.0,16.0,0.0,1.0229999999999928,0.0,0.0
18,39984.0,16.0,0.0,1.0825199999999937,0.0,0.0
19,39984.0,16.0,0.0,1.1420399999999606,0.0,0.0
20,39984.0,16.0,0.0,1.2015599999999855,0.0,0.0
21,39984.0,16.0,0.0,1.2610799999999736,0.0,0.0
22,39984.0,16.0,0.0,1.3205999999999802,0.0,0.0
23,39984.0,16.0,0.0,1.380119999999994,0.0,0.0
24,39984.0,16.0,0.0,1.4396399999999738,0.0,0.0
25,39984.0,16.0,0.0,1.4991599999999774,0.0,0.0
26,39984.0,16.0,0.0,1.5586799999999836,0.0,0.0
27,39984.0,16.0,0.0,1.6181999999999706,0.0,0.0
28,39984.0,16.0,0.0,1.6777199999999959,0.0,0.0
29,39984.0,16.0,0.0,1.7372399999999748,0.0,0.0
30,39984.0,16.0,0.0,1.7967599999999608,0.0,0.0
31,39984.0,16.0,0.0,1.8562799999999906,0.0,0.0
32,39984.0,16.0,0.0,1.9157999999999993,0.0,0.0
33,39984.0,16.0,0.0,1.9753199999999618,0.0,0.0
34,39984.0,16.0,0.0,2.0348399999999707,0.0,0.0
35,39984.0,16.0,0.0,2.094359999999945,0.0,0.0
36,39984.0,16.0,0.0,2.153879999999958,0.0,0.0
37,39984.0,16.0,0.0,2.21339999999995,0.0,0.0
38,39984.0,16.0,0.0,2.2729199999999397,0.0,0.0
39,39984.0,16.0,0.0,2.332439999999966,0.0,0.0
40,39984.0,16.0,0.0,2.3919599999999286,0.0,0.0
41,39984.0,16.0,0.0,2.45147999999996,0.0,0.0
42,39984.0,16.0,0.0,2.5109999999999575,0.0,0.0
43,39984.0,16.0,0.0,2.5705199999999553,0.0,0.0
44,39984.0,16.0,0.0,2.6300399999999735,0.0,0.0
45,39984.0,16.0,0.0,2.689559999999972,0.0,0.0
46,39984.0,16.0,0.0,2.749079999999981,0.0,0.0
47,39984.0,16.0,0.0,2.8085999999999514,0.0,0.0
48,39984.0,15.0,1.0,2.8681199999999287,0.0,0.0
49,39984.0,15.0,1.0,2.923919999999952,0.0,0.0
50,39984.0,15.0,1.0,2.9797199999999764,0.0,0.0
51,39984.0,15.0,1.0,3.035519999999927,0.0,0.0
52,39984.0,15.0,1.0,3.091319999999971,0.0,0.0
53,39984.0,15.0,1.0,3.1471199999999406,0.0,0.0
54,39984.0,15.0,1.0,3.202919999999989,0.0,0.0
55,39984.0,15.0,1.0,3.258719999999912,0.0,0.0
56,39984.0,15.0,1.0,3.3145199999999875,0.0,0.0
57,39984.0,15.0,1.0,3.3703199999999516,0.0,0.0
58,39983.0,16.0,1.0,3.426119999999972,0.0,0.0
59,39983.0,16.0,1.0,3.4856399999999583,0.0,0.0
60,39983.0,16.0,1.0,3.545159999999938,0.0,0.0
61,39983.0,16.0,1.0,3.604679999999993,0.0,0.0
62,39983.0,16.0,1.0,3.664199999999906,0.0,0.0
63,39983.0,16.0,1.0,3.723719999999938,0.0,0.0
64,39983.0,16.0,1.0,3.7832399999999904,0.0,0.0
65,39983.0,16.0,1.0,3.842759999999962,0.0,0.0
66,39983.0,16.0,1.0,3.902279999999976,0.0,0.0
67,39983.0,16.0,1.0,3.9617999999999465,0.0,0.0
68,39983.0,16.0,1.0,4.021319999999983,0.0,0.0
69,39983.0,16.0,1.0,4.08084000000002,0.0,0.0
70,39983.0,16.0,1.0,4.140359999999938,0.0,0.0
71,39983.0,16.0,1.0,4.1998800000000065,0.0,0.0
72,39983.0,16.0,1.0,4.25939999999992,0.0,0.0
73,39983.0,16.0,1.0,4.318919999999923,0.0,0.0
74,39983.0,16.0,1.0,4.378439999999945,0.0,0.0
75,39983.0,16.0,1.0,4.437959999999933,0.0,0.0
76,39983.0,16.0,1.0,4.497479999999995,0.0,0.0
77,39983.0,16.0,1.0,4.556999999999911,0.0,0.0
78,39983.0,16.0,1.0,4.6165199999999,0.0,0.0
79,39983.0,16.0,1.0,4.67603999999993,0.0,0.0
80,39983.0,16.0,1.0,4.735559999999985,0.0,0.0
81,39983.0,16.0,1.0,4.79507999999988,0.0,0.0
82,39983.0,16.0,1.0,4.854599999999992,0.0,0.0
83,39983.0,16.0,1.0,4.914119999999963,0.0,0.0
84,39983.0,16.0,1.0,4.973639999999936,0.0,0.0
85,39983.0,16.0,1.0,5.033159999999947,0.0,0.0
86,39983.0,16.0,1.0,5.092679999999895,0.0,0.0
87,39983.0,16.0,1.0,5.1521999999999055,0.0,0.0
88,39983.0,16.0,1.0,5.21171999999999,0.0,0.0
89,39983.0,16.0,1.0,5.271239999999951,0.0,0.0
90,39983.0,16.0,1.0,5.330759999999885,0.0,0.0
91,39983.0,16.0,1.0,5.390279999999915,0.0,0.0
92,39983.0,16.0,1.0,5.449799999999976,0.0,0.0
93,39983.0,16.0,1.0,5.509319999999956,0.0,0.0
94,39983.0,16.0,1.0,5.568839999999944,0.0,0.0
95,39983.0,16.0,1.0,5.628360000000007,0.0,0.0
96,39983.0,16.0,1.0,5.687879999999961,0.0,0.0
97,39983.0,16.0,1.0,5.747399999999891,0.0,0.0
98,39983.0,16.0,1.0,5.806919999999908,0.0,0.0
99,39983.0,16.0,1.0,5.866439999999938,0.0,0.0
100,39983.0,16.0,1.0,5.925959999999952,0.0,0.0
101,39983.0,16.0,1.0,5.9854799999999075,0.0,0.0
102,39983.0,16.0,1.0,6.044999999999982,0.0,0.0
103,39983.0,16.0,1.0,6.104520000000027,0.0,0.0
104,39983.0,16.0,1.0,6.164039999999998,0.0,0.0
105,39983.0,16.0,1.0,6.223559999999946,0.0,0.0
106,39983.0,16.0,1.0,6.283080000000035,0.0,0.0
107,39983.0,16.0,1.0,6.342599999999986,0.0,0.0
108,39983.0,16.0,1.0,6.402120000000037,0.0,0.0
109,39983.0,16.0,1.0,6.461639999999956,0.0,0.0
110,39983.0,16.0,1.0,6.521159999999948,0.0,0.0
111,39983.0,16.0,1.0,6.5806800000000605,0.0,0.0
112,39983.0,16.0,1.0,6.640199999999952,0.0,0.0
113,39983.0,16.0,1.0,6.699719999999957,0.0,0.0
114,39983.0,16.0,1.0,6.759239999999971,0.0,0.0
115,39983.0,16.0,1.0,6.818759999999964,0.0,0.0
116,39983.0,16.0,1.0,6.878280000000027,0.0,0.0
117,39983.0,16.0,1.0,6.937799999999965,0.0,0.0
118,39983.0,16.0,1.0,6.997319999999977,0.0,0.0
119,39983.0,16.0,1.0,7.056839999999937,0.0,0.0
120,39983.0,16.0,1.0,7.116360000000035,0.0,0.0
121,39983.0,16.0,1.0,7.17587999999996,0.0,0.0
122,39983.0,16.0,1.0,7.2354000000000385,0.0,0.0
123,39982.0,17.0,1.0,7.294920000000052,0.0,0.0
124,39982.0,17.0,1.0,7.358159999999996,0.0,0.0
125,39982.0,17.0,1.0,7.421399999999995,0.0,0.0
126,39982.0,17.0,1.0,7.484639999999987,0.0,0.0
127,39982.0,17.0,1.0,7.547879999999966,0.0,0.0
128,39982.0,17.0,1.0,7.61112000000003,0.0,0.0
129,39982.0,17.0,1.0,7.674360000000007,0.0,0.0
130,39982.0,17.0,1.0,7.737600000000042,0.0,0.0
131,39982.0,17.0,1.0,7.800840000000019,0.0,0.0
132,39982.0,17.0,1.0,7.864080000000051,0.0,0.0
133,39982.0,17.0,1.0,7.9273200000000195,0.0,0.0
134,39982.0,17.0,1.0,7.990560000000018,0.0,0.0
135,39982.0,17.0,1.0,8.05380000000007,0.0,0.0
136,39982.0,17.0,1.0,8.117039999999996,0.0,0.0
137,39982.0,17.0,1.0,8.180280000000057,0.0,0.0
138,39982.0,17.0,1.0,8.243519999999997,0.0,0.0
139,39982.0,16.0,2.0,8.306760000000018,0.0,0.0
140,39982.0,16.0,2.0,8.366279999999946,0.0,0.0
141,39982.0,16.0,2.0,8.425800000000072,0.0,0.0
142,39982.0,16.0,2.0,8.48531999999994,0.0,0.0
143,39982.0,16.0,2.0,8.544840000000082,0.0,0.0
144,39982.0,16.0,2.0,8.60435999999997,0.0,0.0
145,39982.0,16.0,2.0,8.663880000000018,0.0,0.0
