tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.048036254752065306,5.0,0.0
1,39985.0,15.0,0.0,0.09599392074877595,5.0,0.0
2,39985.0,15.0,0.0,0.14385987930129107,5.0,0.0
3,39985.0,15.0,0.0,0.1916543493196832,5.0,0.0
4,39985.0,15.0,0.0,0.2393239786963469,5.0,0.0
5,39985.0,15.0,0.0,0.2869480121359055,5.0,0.0
6,39985.0,15.0,0.0,0.33449935766886585,5.0,0.0
7,39985.0,15.0,0.0,0.381948250942512,5.0,0.0
8,39985.0,15.0,0.0,0.42934553474309023,5.0,0.0
9,39985.0,15.0,0.0,0.4766066380317624,5.0,0.0
10,39985.0,15.0,0.0,0.5238349071997928,5.0,0.0
11,39985.0,15.0,0.0,0.5709897611994775,5.0,0.0
12,39985.0,15.0,0.0,0.6180291313950678,5.0,0.0
13,39985.0,15.0,0.0,0.6650004734355525,5.0,0.0
14,39985.0,15.0,0.0,0.7118779834003681,5.0,0.0
15,39985.0,15.0,0.0,0.7586993366991951,5.0,0.0
16,39985.0,15.0,0.0,0.8054342172658665,5.0,0.0
17,39985.0,15.0,0.0,0.8520845133002805,5.0,0.0
18,39985.0,15.0,0.0,0.8986853844483031,5.0,0.0
19,39985.0,15.0,0.0,0.9451866815288212,5.0,0.0
20,39985.0,15.0,0.0,0.9915859631779581,5.0,0.0
21,39985.0,15.0,0.0,1.0379071405023643,5.0,0.0
22,39985.0,15.0,0.0,1.0841785949112253,5.0,0.0
23,39985.0,15.0,0.0,1.1303504722795668,5.0,0.0
24,39985.0,15.0,0.0,1.1764403695019832,5.0,0.0
25,39985.0,15.0,0.0,1.222482606409519,5.0,0.0
26,39985.0,15.0,0.0,1.2684069600459145,5.0,0.0
27,39985.0,15.0,0.0,1.3142654224584147,5.0,0.0
28,39985.0,15.0,0.0,1.3600594578910732,5.0,0.0
29,39985.0,15.0,0.0,1.405769818999419,5.0,0.0
30,39985.0,15.0,0.0,1.4513953293582087,5.0,0.0
31,39985.0,15.0,0.0,1.4969212769002265,5.0,0.0
32,39985.0,15.0,0.0,1.5424486168625675,5.0,0.0
33,39985.0,15.0,0.0,1.5878365215558137,5.0,0.0
34,39985.0,15.0,0.0,1.6331374076728735,5.0,0.0
35,39985.0,15.0,0.0,1.6783959198290324,5.0,0.0
36,39985.0,15.0,0.0,1.7235538771520846,5.0,0.0
37,39985.0,15.0,0.0,1.7686321921469577,5.0,0.0
38,39985.0,15.0,0.0,1.8136433271636754,5.0,0.0
39,39985.0,15.0,0.0,1.8585797605082364,5.0,0.0
40,39985.0,15.0,0.0,1.903435156779699,5.0,0.0
41,39985.0,15.0,0.0,1.9482198787019966,5.0,0.0
42,39985.0,15.0,0.0,1.992932908707686,5.0,0.0
43,39985.0,15.0,0.0,2.0375246522457733,5.0,0.0
44,39985.0,15.0,0.0,2.0820816239394864,5.0,0.0
45,39985.0,15.0,0.0,2.126562431177332,5.0,0.0
46,39985.0,15.0,0.0,2.1709449192441395,5.0,0.0
47,39985.0,15.0,0.0,2.2152651713441633,5.0,0.0
48,39985.0,14.0,1.0,2.259488265824904,5.0,0.0
49,39985.0,14.0,1.0,2.3004312792924173,5.0,0.0
50,39985.0,14.0,1.0,2.34130843953122,5.0,0.0
51,39985.0,14.0,1.0,2.38212150990189,5.0,0.0
52,39985.0,14.0,1.0,2.4228716305401274,5.0,0.0
53,39985.0,14.0,1.0,2.463520607813541,5.0,0.0
54,39985.0,14.0,1.0,2.504133648577129,5.0,0.0
55,39985.0,14.0,1.0,2.5446649536773216,5.0,0.0
56,39985.0,14.0,1.0,2.585118968945984,5.0,0.0
57,39985.0,14.0,1.0,2.625514184769075,5.0,0.0
58,39985.0,14.0,1.0,2.6658235027831334,5.0,0.0
59,39985.0,14.0,1.0,2.70608661299244,5.0,0.0
60,39985.0,14.0,1.0,2.746269068418339,5.0,0.0
61,39985.0,14.0,1.0,2.7863971119958935,5.0,0.0
62,39985.0,14.0,1.0,2.826439704637252,5.0,0.0
63,39985.0,14.0,1.0,2.8663990822928347,5.0,0.0
